deathIncrease,positiveIncrease,totalTestResultsIncrease,population,testingIncreaseRate,positiveIncreaseRate,percent_positiveIncreaseRate,deathIncreaseRate
5,779,8180,189891253,4.307728697751023,0.4102347989667539,0.09523227383863081,0.0026330860010703072
5,949,7498,189891253,3.948575767205033,0.4997597230031443,0.12656708455588156,0.0026330860010703072
12,1073,7737,189891253,4.074437278056194,0.565060255829688,0.1386842445392271,0.006319406402568737
20,1556,20096,189891253,10.58289925550178,0.8194163635330797,0.07742834394904459,0.010532344004281229
16,1914,18876,189891253,9.940426271240625,1.0079453212097136,0.10139860139860139,0.008425875203424983
23,2966,22504,189891253,11.850993473617239,1.5619466158349065,0.1317987913259865,0.012112195604923413
45,4088,28188,189891253,14.844285639633965,2.1528111144750834,0.1450262523059458,0.023697774009632765
60,5390,34411,189891253,18.12142447656607,2.8384667091537916,0.1566359594315771,0.03159703201284369
48,5985,35984,189891253,18.94979333250279,3.151803943281158,0.1663239217429969,0.025277625610274947
131,7979,36517,189891253,19.230480300216882,4.201878640507996,0.21850097214995756,0.06898685322804206
74,9763,42055,189891253,22.146886355002355,5.141363725689882,0.2321483771251932,0.038969672815840545
210,9358,52356,189891253,27.571570134407402,4.928083759603187,0.1787378714951486,0.1105896120449529
194,10430,57673,189891253,30.371593787945567,5.492617398232661,0.1808471901929846,0.10216373684152792
264,14579,68078,189891253,35.85104575617288,7.677552161920802,0.21415141455389405,0.1390269408565122
333,16051,63709,189891253,33.55025520843764,8.4527326806359,0.25194242571693165,0.17536352767128247
468,16382,70027,189891253,36.87742267939008,8.627042973906754,0.23393833806960174,0.24645684970018075
463,16466,53843,189891253,28.354649911125712,8.671278818724735,0.30581505488178595,0.24382376369911046
498,17362,63329,189891253,33.3501406723563,9.143127830116535,0.2741556001200082,0.26225536570660263
758,19929,74111,189891253,39.02812732506431,10.494954183066032,0.26890744963635627,0.39917583776225857
865,20600,71908,189891253,37.86798963299273,10.848314324409666,0.2864771652667297,0.45552387818516316
1009,20788,82832,189891253,43.62075592813114,10.947318358049909,0.25096581031485415,0.531356755015988
1101,25868,87838,189891253,46.257001632402726,13.622533735137342,0.2944966870830392,0.5798055374356816
1306,25576,165041,189891253,86.91342934052891,13.468761512674837,0.15496755351700486,0.6877620634795643
1141,20852,78059,189891253,41.10721203150942,10.98102185886361,0.26713127249900714,0.6008702254442442
1147,22554,80847,189891253,42.57542078570623,11.877324333627943,0.27897139040409663,0.6040299286455285
1738,23488,104707,189891253,55.140507182813735,12.369184798627876,0.2243212010658313,0.9152606939720389
1756,25214,107266,189891253,56.488120598161515,13.278126086197346,0.23506050379430574,0.9247398035758919
1773,28346,114427,189891253,60.25922636889442,14.927491157267784,0.247721254599002,0.933692295979531
1791,26787,94268,189891253,49.643150229779145,14.106494942134063,0.2841579327025077,0.943171405583384
1827,25503,99069,189891253,52.171439408006854,13.43031845705921,0.25742664203736787,0.9621296247910903
1569,22724,94926,189891253,49.98966434752,11.966849257664332,0.2393864694604218,0.8262623871358624
1481,19929,67704,189891253,35.65409092329282,10.494954183066032,0.29435483870967744,0.7799200735170251
1917,21160,96542,189891253,50.840677743065925,11.14321995652954,0.21917921733546022,1.0095251728103558
2131,25000,104174,189891253,54.859820215099646,13.165430005351535,0.23998310518939467,1.122221253656165
1920,25606,125243,189891253,65.95511800640969,13.484560028681258,0.20445054813442667,1.011105024410998
