deathIncrease,positiveIncrease,totalTestResultsIncrease,population,testingIncreaseRate,positiveIncreaseRate,deathIncreaseRate
2,29,547,138348270,0.39537899534269566,0.020961592074841266,0.0014456270396442253
0,58,801,138348270,0.5789736293775123,0.04192318414968253,0.0
0,66,1553,138348270,1.122529396283741,0.04770569230825943,0.0
3,77,2318,138348270,1.675481738947657,0.05565664102630268,0.002168440559466338
3,215,2465,138348270,1.7817353263615079,0.15540490676175422,0.002168440559466338
2,148,2817,138348270,2.0361656853388914,0.10697640093367268,0.0014456270396442253
6,170,7867,138348270,5.6863739604405605,0.12287829836975915,0.004336881118932676
5,383,9586,138348270,6.9288904010147725,0.27683757809186915,0.003614067599110563
6,518,10981,138348270,7.937215261166619,0.3744174032678544,0.004336881118932676
10,694,15010,138348270,10.849430932529913,0.5016325827565462,0.007228135198221126
14,944,16155,138348270,11.677052412726232,0.6823359627120744,0.010119389277509577
12,1236,15580,138348270,11.261434638828517,0.8933975105001313,0.008673762237865352
26,1398,15194,138348270,10.982428620177181,1.0104933007113137,0.01879315151537493
26,1514,34125,138348270,24.666011363929595,1.0943396690106786,0.01879315151537493
47,2189,24675,138348270,17.83542360161063,1.5822387948906047,0.0339722354316393
49,3004,38365,138348270,27.730740687975356,2.1713318135456268,0.03541786247128352
76,3149,37465,138348270,27.080208520135454,2.276139773919833,0.05493382750648056
83,3368,41287,138348270,29.842801792895568,2.4344359347608755,0.05999352214523535
40,3186,33425,138348270,24.160041900054118,2.302883874153251,0.028912540792884505
86,3769,37096,138348270,26.81349033132109,2.724284156209543,0.062161962704701694
147,4942,40094,138348270,28.980485263747788,3.5721444149608805,0.10625358741385056
137,5598,50805,138348270,36.72254087456243,4.046310083964187,0.09902545221562943
164,7243,47527,138348270,34.35315815658555,5.235338324071562,0.11854141725082647
182,5901,53977,138348270,39.01530535943818,4.265322580470287,0.1315520606076245
169,7441,65447,138348270,47.30597643179781,5.378455400996341,0.12215548484993703
198,4981,50941,138348270,36.82084351325825,3.600334142233944,0.14311707692477832
166,5668,56436,138348270,40.79270380468075,4.096907030351735,0.1199870442904707
297,6874,64781,138348270,46.824582627596286,4.968620135257202,0.21467561538716748
246,5726,57907,138348270,41.85596249233908,4.138830214501417,0.1778121258762397
269,6548,55587,138348270,40.17903512635178,4.732982927795194,0.19443683683214832
286,6897,60851,138348270,43.983925494695384,4.985244846213112,0.20672466666912423
244,5712,59068,138348270,42.69514898885255,4.128710825223908,0.1763664988365955
129,5294,45338,138348270,32.77091936169494,3.8265747739382645,0.09324294405705254
151,4317,57673,138348270,41.68682412870071,3.1203859650720602,0.10914484149313901
435,4730,63322,138348270,45.76999770217582,3.418907948758593,0.31442388112261904
408,4932,44475,138348270,32.14713129408846,3.56491627976266,0.294907916087422
269,5852,57191,138348270,41.338428012146444,4.229904717999004,0.19443683683214832
298,6489,67984,138348270,49.139754331586516,4.69033693012569,0.2153984289069896
275,6296,68521,138348270,49.52790519173098,4.550833920800022,0.19877371795108098
168,6223,48316,138348270,34.923458023725196,4.498068533853007,0.12143267133011494
187,5794,50691,138348270,36.640140133302715,4.187981533849321,0.13516612820673507
392,5295,67324,138348270,48.66269740850392,3.827297587458087,0.28334289977026816
372,5441,67278,138348270,48.6294479865921,3.932828361352115,0.26888662937382596
335,6267,74861,138348270,54.11054290740318,4.52987232872518,0.24214252914040776
313,6811,88027,138348270,63.62710570938111,4.9230828835084095,0.22624063170432127
297,7164,114530,138348270,82.78383242522656,5.178236056005615,0.21467561538716748
168,5487,75407,138348270,54.50519908922605,3.9660777832639327,0.12143267133011494
158,5028,54930,138348270,39.70414664382865,3.6343063776655824,0.11420453613189381
381,5416,75157,138348270,54.32449570927052,3.9147580233565624,0.27539195105222497
582,5598,96492,138348270,69.7457221546753,4.046310083964187,0.42067746853646953
408,6502,95054,138348270,68.7063163131711,4.699733505883377,0.294907916087422
328,8534,110080,138348270,79.56731226201816,6.168490578161911,0.23708283450165293
308,7803,99543,138348270,71.95102620365256,5.640113895171945,0.22262656410521073
133,5840,80963,138348270,58.521151005357716,4.221230955761138,0.09613419813634098
221,5933,78323,138348270,56.61292331302733,4.288452613104595,0.1597417878806869
480,5531,115286,138348270,83.33027944621209,3.9978815781361052,0.3469504895146141
446,6720,117560,138348270,84.97395739028757,4.857306853204597,0.32237482984066224
383,6378,127574,138348270,92.21221197778621,4.610104629425435,0.27683757809186915
